Nombre inmueble,Latitud,Longitud
CASA EJIDAL BACUM,27.548691,-110.081714
CECYTES B¡ÅCUM,27.552864,-110.082176
SEC.TEC. N0 26,27.552888,-110.082132
KINDER GOB. JESUS VLA. LOMAS DE BACUM,27.552893,-110.082229
TELESECUNDARIA LOMAS BACUM 146,27.553294,-110.085159
ALBERGUE GRAL. LUIS MATUS,27.585908,-110.085044
ESC. PRIM. PADRE DE LAS C ASAS BATACONSICA,27.515077,-110.143138
PRIM. JOS¡Ä∞ MA. LEYVA CAJEME BOMBA TETABIATE,27.514231,-109.916381
ESC. PRIM. JOSE MA. MORELOS SAN JOSE BACUM,27.516367,-110.13719
DISPENSARIO M¡Ä∞DICO SAN JOSE BACUM,27.514761,-110.143258
"ESC. PRI, ROMAN YOCUPICIO SAN JOSE BACUM",27.515144,-110.142902
IGLESIA CATOLICA SAN JOSE BACUM,27.514745,-110.14325
CASA EJIDAL SAN JOSE BACUM,27.36344542,-109.898921
ESC. PRIM. PRESIDENTE MIGUEL ALEMAN LAS NORIAS,27.500194,-110.114115
ESC. PRIM. AMADO NERVO CAMPO 60,27.460871,-110.108418
ESC. PRIM. NARCIZO MENDOZA CAMPO 60,27.46124,-110.113931
ESCUELA RURAL 1RO. DE MAYO CAMPO 77,27.384079,-110.121091
CASA EJIDAL CAMPO 77,27.389309,-110.122135
ESC. PRIM. AQUILES SERDAN CAMPO 60,27.460868,-110.103818
IGLESIA CAMPO 60,27.468397,-109.93938
ESC. PRIM. FCO. VILLA VILLA GUADALUPUE,27.211166,-110.131063
ESC. 6 DE ABRIL,30.712854,-112.148816
ESC. SECUNDARIA GIR”N,30.717218,-112.153865
ESC. FLORENCIA R. DE MUNGU¡çA,30.713733,-112.156585
GIMNACIO MUNICIPAL,30.702839,-112.165794
AUDITORIO CIVICO MUNICIPAL,31.102552,-111.379004
SALON DE BAILE,31.10289,-111.379425
PRESIDENCIA MUNICIPAL,29.42742,-110.386775
ESC. PRIM. FCO. I MADERO,31.328925,-110.94735
ESC. RAFAEL FIERROS,30.161271,-109.31938
KARUMA,30.164044,-109.320114
CASA EJIDAL               ,15.146565,-92.41428925
CASA EJIDAL,16.38363816,-91.7116785
escuela primaria belisario dominguez,17.405138,-93.339844
escuela primaria belisario dominguez,17.4051378,-93.33984375
ESCUELA PRIMARIA FEDERAL BILINGUE EN EL BARRIO BUENA VISTA  ,15.3342933,-92.2164917
CASA EJIDAL DE PAVENCUL,14.86283756,-92.20212232
Iglesia pentecostes,15.872846,-92.71431
Casa ejidal,16.16126144,-93.09402466
CASA EJIDAL,16.13388986,-91.36230469
escuela primario ni¡±os heroes,15.742789,-92.285757
ESCUELA PRIMARIA EMILIANO ZAPATA,15.21669947,-92.55838222
esc. primaria justo sierra,15.14438091,-92.44720459
SALON DE ACTOS,16.01034097,-92.22919464
CASA EJIDAL,16.49633647,-92.09770203
SALON DE USOS MULTIPLES E.S.T. No.9,17.17949903,-92.32910156
IGLECIA CATOLICA_DE ESQUIPULAS                  ,15.146565,-92.41222932
IGLESIA BAUTISTA PRINCIPE DE PAZ,15.43250088,-92.89283752
Escuela el Recreo,17.18015504,-92.33665466
CASA EJIDAL,17.15044996,-92.70388303
PARROQUIA DE SAN PABLO APOSTOL,16.55196172,-92.80906677
ESCUELA PRIMARIA,17.14848161,-92.70731625
SALON DE USOS MULTIPLES,16.38489393,-91.67322636
ESC. JOSE EMILIO GRAJALES,15.68120451,-93.20744748
SEC JOSE EMILIO GRAJALES,16.69434372,-92.93518053
ERMITA SAN PEDRO,16.55196172,-92.80220032
CONALEP,16.69144746,-93.01128398
C.D.C. SAN PEDRO PROGRESIVO,16.75672297,-93.10134874
Auditorio Municipal,16.76148151,-93.36181641
Iglesia pentecostes,15.35782645,-92.25219727
ESC. TELESECUNDARIA,15.68384884,-93.20401425
ESC. CASA EJIDAL ,15.68186559,-93.20744748
ESC. TELESECUNDARIA,15.685171,-93.21019406
ESC. PRIMARIA ERACLIO ZEPEDA,15.68384884,-93.20058103
SalÛn de Usos Multiples San Sebastian,16.31486756,-91.97891235
ESC SECUNDARIA No 243,16.6973668,-93.00304424
CASA EJIDAL,15.68384884,-93.21019406
CASA EJIDAL,17.18662195,-93.38763448
CASA EJIDAL,17.18662195,-93.3848879
Iglesia Bautista Rosa del SaharÛn Fracc. Los Angeles,14.90497601,-92.25631714
Esc. Primaria Fral. Luis Chavez,14.90364892,-92.25151062
Esc. Primaria Fral. Luis Chavez,14.90364892,-92.25151062
CASA EJIDAL,15.68186559,-93.21294065
ESCUELA PRIMARIA FEDERAL  FORD NO. 68,15.683188,-93.212254
COBACH PLANTEL 04,15.68186559,-93.21912046
"ESC, SEC TECNICA No 17",15.683849,-93.209507
ESC. PRIMARIA  FEDERAL  FORD No. 52,15.685832,-93.206074
CASA EJIDAL,15.340863,-92.673142
ESC. CENTENARIO DE MIGRACION JAPONESA,15.33916588,-92.67739074
ESC. PRIM. MIGUEL  HIDALGO,15.33937282,-92.66322867
PARROQUIA SAN MARCOS,15.33891991,-92.6743513
IGLESIA DEL BUEN PASTOR,15.33854508,-92.67511622
IGLESIA DE NAZARENO,15.337471,-92.674008
ESC. PRIM. JOSE MARIA  MORELOSY PAVON,16.6953937,-93.00991069
ESC. PRIM. NI—OS HEROES,15.33837954,-92.67138259
ESC. PREP BELISARIO DOMINGUEZ PALENCIA,15.33838,-92.671383
ERMITA SAN ISIDRO,16.55130353,-92.81112671
Casa Ejidal,16.54932894,-92.80426025
AUDITORIO MUNICIPAL,16.5532781,-92.80014038
ERMITA SANTA CRUZ,16.5532781,-92.79670715
CASA DEL PUEBLO (LOPEZ MATEOS),16.54998714,-92.80632019
ERMITA SANTA LUCIA,16.5532781,-92.8049469
CASA EJIDAL,15.39278379,-92.52891541
AUDITORIO MUNICIPAL,15.27423094,-92.67691009
ESC. PROFR. MAURO CARRAZCO,15.27820525,-92.68583648
CASA EJIDAL,15.27886763,-92.68102996
CENTRO DE CONVIVENCIAS,15.28217948,-92.68652313
AUDITORIO SOCONUSCO,15.28019237,-92.68034332
ESC. PRIM. NI—OS HEROES,15.27688049,-92.68240325
ESC. PRIM. MARIANO MATAMOROS,15.27754287,-92.68858306
CASA EJIDAL,15.27754287,-92.67965667
CASA EJIDAL,15.28416656,-92.68240325
CASA EJIDAL,15.27820525,-92.68240325
AUDITORIO MUNICIPAL,17.36888667,-92.82487546
Escuela Prim. Raul Isidro Burgos ,17.36560996,-92.82144223
NO APLICA,17.37347397,-92.81251584
CASA EJIDAL,17.37226535,-92.81181335
ejido Monterrey,16.11509031,-92.69096375
ESC. PREP.JORGE H. BEDWELL,16.23247575,-93.89808655
ESC. PRIM. FRANCISCO I. MADERO,16.23247575,-93.90194893
IGLESIA ADVENTISTA 7 DIA,16.23577209,-93.89456749
ESC. PRIMARIA BELISARIO DOMINGUEZ,16.23313503,-93.90838623
CASA DIA,16.23717302,-93.89302254
IGLESIA BAUTISTA EMANUEL,16.23115721,-93.88710022
ESCUELA PRIMARIA EMILIANO ZAPATA,16.2337943,-93.89259338
UNIDAD ADMINISTRATIVA,16.7946806,-93.2605363
AUDITORIO MUNICIPAL      ,16.797967,-93.270149
CASA EJIDAL,16.75136196,-93.10870718
VILLA CRISOL,16.8025691,-93.27549219
Esc.Prim. Federal Ni¡±os Heroes,16.998352,-92.884598
Jardin de Ni¡±os Diego Rivera,16.98915875,-92.89833069
Auditorio Municipal Jicara de Grillos.,16.99572544,-92.90039063
Auditorio Municipal Juan Sabines Guerrero,16.99638209,-92.89558411
Cobach Plantel 73,17.05612817,-92.71499634
Casa Ejidal,17.06137965,-92.7129364
Casa  de Bienes Comunales,17.0672874,-92.71430969
Casa DÌa,15.36047493,-92.27966309
Casino del Pueblo,17.72972072,-92.00843811
ESCUELA PRIM. DR. BELISARIO PALENCIA,17.68736676,-91.72039043
ESC. PRIM. URBANA FEDERAL HEROES DE CHAPULTEPEC,17.72161082,-92.01062735
ESCUELA PRIMARIA DEL ESTADO POR LA RAZA,17.7203027,-92.01474723
ESCUELA SECUNDARIA TECNICA N∞ 18,17.72161082,-92.00444754
COLEGIO DE BACHILLERES DE CHIAPAS PLANTEL N∞9,17.72418618,-92.01225814
UNIVERSIDAD MAYA (UNACH),17.72291894,-92.01337394
ESC. PROF. MIGUEL SALAS ANZURES,17.71964863,-92.01612052
ESCUELA CUAUHTEMOC,17.723573,-92.00444754
ESCUELA EMILIO RABASA,17.72161082,-92.01543387
Casa Ejidal Ejido Fco. I Madero,16.68487058,-93.70513916
ESC. NORMAL DEL OCCIDENTE DE CHIAPAS,16.66822959,-93.64392019
C.B.T.I.S. No. 169,16.67151853,-93.64460684
C.B.T.A. No. 24,16.6458633,-93.65353323
ASOCIACION GANADERA LOCAL,16.64394288,-93.75741348
ESC. SEC. FRAL. RODOLFO FIGUEROA ESQUINCA,16.63933768,-93.76496658
ESC. PRIM. JOSEFA ORTIZ DE DOMINGUEZ,16.64065346,-93.75947342
ESC.SEC. JOSE EMILIO GRAJALES,16.643285,-93.76290665
ESC. PRIM. 1o. DE MAYO,16.64196924,-93.76633987
CEBECH LIC. EMILIO RABASA,16.64262712,-93.75878677
AUDITORIO MUNICIPAL,16.64723224,-93.75398025
ESC.PRIM FRAY BARTOLOME DE LAS CASAS,16.64460075,-93.76702652
AUDITORIO ROBERTO BONIFAZ CABALLERO,16.25302545,-92.13438392
INSTALACIONES DE LA FERIA,16.236143,-92.140918
DIF MUNICIPAL,16.23049793,-92.11074829
Auditorio Municipal,17.09682334,-93.20320129
DIF MUNICIPAL,16.65790148,-92.26112366
CASA EJIDAL,17.34277339,-93.1338501
ALBERGUE ESCOLAR,17.33873756,-93.13038665
ASOCIACI”N GANADERA LOCAL ,17.33873756,-93.13381987
desplazados por asuntos politicos,16.897858,-92.62367249
ESC. PRIM. BENITO JUAREZ,15.32742461,-92.64873761
COBACH PLANTEL 02,15.32610016,-92.64667767
Comisaria Ejidal,16.7499754,-93.06999207
Centro Social,14.77632658,-92.17632294
Casa Dia,15.01973818,-92.38197327
SalÛn Colectivo,17.20967305,-92.64907837
Dif Municipal,17.2149202,-92.64976501
Albergue Escolar,17.21819959,-92.65182495
Auditorio Municipal,15.06449863,-92.0822525
DIF MUNICIPAL,16.25324175,-92.02079773
PRESIDENCIA MUNICIPAL,16.25488975,-92.01976776
SALON DE USOS MULTIPLES,16.25291215,-92.02148438
SALON DE ACTOS ,17.28836468,-93.00750732
SalÛn de Usos de la Ganadera Local,17.3034434,-92.99858093
CEDECO,17.29229838,-93.00270081
SALON EJIDAL ,17.28930893,-93.01337952
GANADERA LOCAL ,17.29062016,-93.00239319
COBACH PLANTEL 76 IXHUATAN ANEXO,17.29324261,-93.0010199
NO DISPONIBLE,17.2971762,-93.00170654
COBACH PLANTEL 56 IXTACOMITAN,17.43413177,-93.09320613
PRIMARIA ESCUELA  DR. BELISARIO DOMINGUEZ,17.43216646,-93.09114619
